"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2026-01-01T08:00+0100","Zch_Stampfenbachstrasse","StrGlo","h1","W/m2",23.33,"provisorisch"
"2026-01-01T08:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",-5.06,"provisorisch"
"2026-01-01T08:00+0100","Zch_Stampfenbachstrasse","WD","h1","°",319.87,"provisorisch"
"2026-01-01T08:00+0100","Zch_Stampfenbachstrasse","WVs","h1","m/s",0.68,"provisorisch"
"2026-01-01T08:00+0100","Zch_Stampfenbachstrasse","WVv","h1","m/s",0.24,"provisorisch"
"2026-01-01T08:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",965.18,"provisorisch"
"2026-01-01T09:00+0100","Zch_Heubeeribüel","Hr","h1","%Hr",93.52,"provisorisch"
"2026-01-01T09:00+0100","Zch_Heubeeribüel","T","h1","°C",-3.89,"provisorisch"
"2026-01-01T09:00+0100","Zch_Heubeeribüel","p","h1","hPa",943.89,"provisorisch"
"2026-01-01T09:00+0100","Zch_Rosengartenstrasse","Hr","h1","%Hr",81.45,"provisorisch"
"2026-01-01T09:00+0100","Zch_Rosengartenstrasse","RainDur","h1","min",0.0,"provisorisch"
"2026-01-01T09:00+0100","Zch_Rosengartenstrasse","T","h1","°C",-4.63,"provisorisch"
"2026-01-01T09:00+0100","Zch_Rosengartenstrasse","WD","h1","°",198.56,"provisorisch"
"2026-01-01T09:00+0100","Zch_Rosengartenstrasse","WVs","h1","m/s",0.31,"provisorisch"
"2026-01-01T09:00+0100","Zch_Rosengartenstrasse","WVv","h1","m/s",0.14,"provisorisch"
"2026-01-01T09:00+0100","Zch_Rosengartenstrasse","p","h1","hPa",964.91,"provisorisch"
"2026-01-01T09:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",76.2,"provisorisch"
"2026-01-01T09:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",0.0,"provisorisch"
"2026-01-01T09:00+0100","Zch_Schimmelstrasse","T","h1","°C",-3.31,"provisorisch"
"2026-01-01T09:00+0100","Zch_Schimmelstrasse","WD","h1","°",323.66,"provisorisch"
"2026-01-01T09:00+0100","Zch_Schimmelstrasse","WVs","h1","m/s",0.33,"provisorisch"
"2026-01-01T09:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.17,"provisorisch"
"2026-01-01T09:00+0100","Zch_Schimmelstrasse","p","h1","hPa",967.63,"provisorisch"
"2026-01-01T09:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",78.3,"provisorisch"
"2026-01-01T09:00+0100","Zch_Stampfenbachstrasse","RainDur","h1","min",0.0,"provisorisch"
"2026-01-01T09:00+0100","Zch_Stampfenbachstrasse","StrGlo","h1","W/m2",146.47,"provisorisch"
"2026-01-01T09:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",-3.93,"provisorisch"
"2026-01-01T09:00+0100","Zch_Stampfenbachstrasse","WD","h1","°",239.4,"provisorisch"
"2026-01-01T09:00+0100","Zch_Stampfenbachstrasse","WVs","h1","m/s",0.56,"provisorisch"
"2026-01-01T09:00+0100","Zch_Stampfenbachstrasse","WVv","h1","m/s",0.36,"provisorisch"
"2026-01-01T09:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",964.83,"provisorisch"
"2026-01-01T10:00+0100","Zch_Heubeeribüel","Hr","h1","%Hr",78.86,"provisorisch"
"2026-01-01T10:00+0100","Zch_Heubeeribüel","T","h1","°C",-2.34,"provisorisch"
"2026-01-01T10:00+0100","Zch_Heubeeribüel","p","h1","hPa",943.32,"provisorisch"
"2026-01-01T10:00+0100","Zch_Rosengartenstrasse","Hr","h1","%Hr",72.16,"provisorisch"
"2026-01-01T10:00+0100","Zch_Rosengartenstrasse","RainDur","h1","min",0.0,"provisorisch"
"2026-01-01T10:00+0100","Zch_Rosengartenstrasse","T","h1","°C",-2.46,"provisorisch"
"2026-01-01T10:00+0100","Zch_Rosengartenstrasse","WD","h1","°",215.36,"provisorisch"
"2026-01-01T10:00+0100","Zch_Rosengartenstrasse","WVs","h1","m/s",0.49,"provisorisch"
"2026-01-01T10:00+0100","Zch_Rosengartenstrasse","WVv","h1","m/s",0.31,"provisorisch"
"2026-01-01T10:00+0100","Zch_Rosengartenstrasse","p","h1","hPa",964.32,"provisorisch"
"2026-01-01T10:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",67.36,"provisorisch"
"2026-01-01T10:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",0.0,"provisorisch"
"2026-01-01T10:00+0100","Zch_Schimmelstrasse","T","h1","°C",-1.01,"provisorisch"
"2026-01-01T10:00+0100","Zch_Schimmelstrasse","WD","h1","°",314.46,"provisorisch"
"2026-01-01T10:00+0100","Zch_Schimmelstrasse","WVs","h1","m/s",0.51,"provisorisch"
